timestamp,price,Repeated Hour Flag,source_file,source_sheet
2023-01-04 07:00:00,33.98,N,rpt.00013060.0000000000000000.DAMLZHBSPP_2023.xlsx,Jan
2023-01-04 08:00:00,22.32,N,rpt.00013060.0000000000000000.DAMLZHBSPP_2023.xlsx,Jan
2023-01-04 09:00:00,19.34,N,rpt.00013060.0000000000000000.DAMLZHBSPP_2023.xlsx,Jan
2023-01-04 10:00:00,17.37,N,rpt.00013060.0000000000000000.DAMLZHBSPP_2023.xlsx,Jan
2023-01-04 11:00:00,16.58,N,rpt.00013060.0000000000000000.DAMLZHBSPP_2023.xlsx,Jan
2023-01-04 12:00:00,16.67,N,rpt.00013060.0000000000000000.DAMLZHBSPP_2023.xlsx,Jan
2023-01-04 13:00:00,16.6,N,rpt.00013060.0000000000000000.DAMLZHBSPP_2023.xlsx,Jan
2023-01-04 14:00:00,17.56,N,rpt.00013060.0000000000000000.DAMLZHBSPP_2023.xlsx,Jan
2023-01-04 15:00:00,18.93,N,rpt.00013060.0000000000000000.DAMLZHBSPP_2023.xlsx,Jan
2023-01-04 16:00:00,28.63,N,rpt.00013060.0000000000000000.DAMLZHBSPP_2023.xlsx,Jan
2023-01-04 17:00:00,40.39,N,rpt.00013060.0000000000000000.DAMLZHBSPP_2023.xlsx,Jan
2023-01-04 18:00:00,41.55,N,rpt.00013060.0000000000000000.DAMLZHBSPP_2023.xlsx,Jan
2023-01-04 19:00:00,34.99,N,rpt.00013060.0000000000000000.DAMLZHBSPP_2023.xlsx,Jan
2023-01-04 20:00:00,33.51,N,rpt.00013060.0000000000000000.DAMLZHBSPP_2023.xlsx,Jan
2023-01-04 21:00:00,29.52,N,rpt.00013060.0000000000000000.DAMLZHBSPP_2023.xlsx,Jan
2023-01-04 22:00:00,25.9,N,rpt.00013060.0000000000000000.DAMLZHBSPP_2023.xlsx,Jan
2023-01-04 23:00:00,24.34,N,rpt.00013060.0000000000000000.DAMLZHBSPP_2023.xlsx,Jan
2023-01-05 00:00:00,27.45,N,rpt.00013060.0000000000000000.DAMLZHBSPP_2023.xlsx,Jan
2023-01-05 01:00:00,24.22,N,rpt.00013060.0000000000000000.DAMLZHBSPP_2023.xlsx,Jan
2023-01-05 02:00:00,24.59,N,rpt.00013060.0000000000000000.DAMLZHBSPP_2023.xlsx,Jan
2023-01-05 03:00:00,26.71,N,rpt.00013060.0000000000000000.DAMLZHBSPP_2023.xlsx,Jan
2023-01-05 04:00:00,27.73,N,rpt.00013060.0000000000000000.DAMLZHBSPP_2023.xlsx,Jan
2023-01-05 05:00:00,34.27,N,rpt.00013060.0000000000000000.DAMLZHBSPP_2023.xlsx,Jan
2023-01-05 06:00:00,73.84,N,rpt.00013060.0000000000000000.DAMLZHBSPP_2023.xlsx,Jan
2023-01-05 07:00:00,81.18,N,rpt.00013060.0000000000000000.DAMLZHBSPP_2023.xlsx,Jan
2023-01-05 08:00:00,34.9,N,rpt.00013060.0000000000000000.DAMLZHBSPP_2023.xlsx,Jan
2023-01-05 09:00:00,27.69,N,rpt.00013060.0000000000000000.DAMLZHBSPP_2023.xlsx,Jan
2023-01-05 10:00:00,27.1,N,rpt.00013060.0000000000000000.DAMLZHBSPP_2023.xlsx,Jan
2023-01-05 11:00:00,25.33,N,rpt.00013060.0000000000000000.DAMLZHBSPP_2023.xlsx,Jan
2023-01-05 12:00:00,24.8,N,rpt.00013060.0000000000000000.DAMLZHBSPP_2023.xlsx,Jan
2023-01-05 13:00:00,22.1,N,rpt.00013060.0000000000000000.DAMLZHBSPP_2023.xlsx,Jan
2023-01-05 14:00:00,21.36,N,rpt.00013060.0000000000000000.DAMLZHBSPP_2023.xlsx,Jan
2023-01-05 15:00:00,21.46,N,rpt.00013060.0000000000000000.DAMLZHBSPP_2023.xlsx,Jan
2023-01-05 16:00:00,25.83,N,rpt.00013060.0000000000000000.DAMLZHBSPP_2023.xlsx,Jan
2023-01-05 17:00:00,54.53,N,rpt.00013060.0000000000000000.DAMLZHBSPP_2023.xlsx,Jan
2023-01-05 18:00:00,32.6,N,rpt.00013060.0000000000000000.DAMLZHBSPP_2023.xlsx,Jan
2023-01-05 19:00:00,24.34,N,rpt.00013060.0000000000000000.DAMLZHBSPP_2023.xlsx,Jan
2023-01-05 20:00:00,21.83,N,rpt.00013060.0000000000000000.DAMLZHBSPP_2023.xlsx,Jan
2023-01-05 21:00:00,20.92,N,rpt.00013060.0000000000000000.DAMLZHBSPP_2023.xlsx,Jan
2023-01-05 22:00:00,20.12,N,rpt.00013060.0000000000000000.DAMLZHBSPP_2023.xlsx,Jan
2023-01-05 23:00:00,15.11,N,rpt.00013060.0000000000000000.DAMLZHBSPP_2023.xlsx,Jan
2023-01-06 00:00:00,10.46,N,rpt.00013060.0000000000000000.DAMLZHBSPP_2023.xlsx,Jan
2023-01-06 01:00:00,8.93,N,rpt.00013060.0000000000000000.DAMLZHBSPP_2023.xlsx,Jan
2023-01-06 02:00:00,10.8,N,rpt.00013060.0000000000000000.DAMLZHBSPP_2023.xlsx,Jan
2023-01-06 03:00:00,11.3,N,rpt.00013060.0000000000000000.DAMLZHBSPP_2023.xlsx,Jan
2023-01-06 04:00:00,15.24,N,rpt.00013060.0000000000000000.DAMLZHBSPP_2023.xlsx,Jan
2023-01-06 05:00:00,23.13,N,rpt.00013060.0000000000000000.DAMLZHBSPP_2023.xlsx,Jan
2023-01-06 06:00:00,36.24,N,rpt.00013060.0000000000000000.DAMLZHBSPP_2023.xlsx,Jan
2023-01-06 07:00:00,33.52,N,rpt.00013060.0000000000000000.DAMLZHBSPP_2023.xlsx,Jan
2023-01-06 08:00:00,33.32,N,rpt.00013060.0000000000000000.DAMLZHBSPP_2023.xlsx,Jan
2023-01-06 09:00:00,26.4,N,rpt.00013060.0000000000000000.DAMLZHBSPP_2023.xlsx,Jan
2023-01-06 10:00:00,18.35,N,rpt.00013060.0000000000000000.DAMLZHBSPP_2023.xlsx,Jan
2023-01-06 11:00:00,17.46,N,rpt.00013060.0000000000000000.DAMLZHBSPP_2023.xlsx,Jan
2023-01-06 12:00:00,16.76,N,rpt.00013060.0000000000000000.DAMLZHBSPP_2023.xlsx,Jan
2023-01-06 13:00:00,16.53,N,rpt.00013060.0000000000000000.DAMLZHBSPP_2023.xlsx,Jan
